file,type,original_size,compressed_size,encode_time,decode_time
bigTXT.txt,text_big,3432843,1722058,0.15,0.14
bigTXT.txt,text_big,3432843,1722058,0.15,0.15
bigTXT.txt,text_big,3432843,1722058,0.14,0.15
bigTXT.txt,text_big,3432843,1722058,0.15,0.14
bigTXT.txt,text_big,3432843,1722058,0.15,0.15
bigTXT.txt,text_big,3432843,1722058,0.15,0.15
bigTXT.txt,text_big,3432843,1722058,0.15,0.15
bigTXT.txt,text_big,3432843,1722058,0.15,0.15
bigTXT.txt,text_big,3432843,1722058,0.15,0.15
bigTXT.txt,text_big,3432843,1722058,0.15,0.15
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
smallTXT.txt,text_small,14,2054,0.00,0.00
photo.jpg,jpg,1278185,1279643,0.06,0.12
photo.jpg,jpg,1278185,1279643,0.06,0.12
photo.jpg,jpg,1278185,1279643,0.06,0.12
photo.jpg,jpg,1278185,1279643,0.05,0.12
photo.jpg,jpg,1278185,1279643,0.06,0.12
photo.jpg,jpg,1278185,1279643,0.05,0.12
photo.jpg,jpg,1278185,1279643,0.06,0.12
photo.jpg,jpg,1278185,1279643,0.06,0.11
photo.jpg,jpg,1278185,1279643,0.05,0.12
photo.jpg,jpg,1278185,1279643,0.05,0.12
photo.zip,zip,1267467,1269515,0.06,0.09
photo.zip,zip,1267467,1269515,0.05,0.10
photo.zip,zip,1267467,1269515,0.06,0.09
photo.zip,zip,1267467,1269515,0.06,0.09
photo.zip,zip,1267467,1269515,0.06,0.10
photo.zip,zip,1267467,1269515,0.06,0.10
photo.zip,zip,1267467,1269515,0.05,0.10
photo.zip,zip,1267467,1269515,0.06,0.09
photo.zip,zip,1267467,1269515,0.05,0.10
photo.zip,zip,1267467,1269515,0.05,0.10
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
empty.txt,empty,0,2048,0.00,0.00
